Frequency,GD,GD(ns)
1,1.70E-10,0.17032561
1.02,1.70E-10,0.169839814
1.04,1.69E-10,0.168881691
1.06,1.68E-10,0.167950914
1.08,1.67E-10,0.167048288
1.1,1.66E-10,0.1661746
1.12,1.65E-10,0.165330625
1.14,1.65E-10,0.16451713
1.16,1.64E-10,0.163734882
1.18,1.63E-10,0.162984658
1.2,1.62E-10,0.162267244
1.22,1.62E-10,0.161583448
1.24,1.61E-10,0.160934107
1.26,1.60E-10,0.160320093
1.28,1.60E-10,0.159742321
1.3,1.59E-10,0.15920176
1.32,1.59E-10,0.158699443
1.34,1.58E-10,0.158236474
1.36,1.58E-10,0.157814043
1.38,1.57E-10,0.157433436
1.4,1.57E-10,0.157096049
1.42,1.57E-10,0.156803405
1.44,1.57E-10,0.156557168
1.46,1.56E-10,0.156359162
1.48,1.56E-10,0.156211392
1.5,1.56E-10,0.156116068
1.52,1.56E-10,0.156075629
1.54,1.56E-10,0.156092774
1.56,1.56E-10,0.156170497
1.58,1.56E-10,0.156312121
1.6,1.57E-10,0.156521344
1.62,1.57E-10,0.15680229
1.64,1.57E-10,0.157159564
1.66,1.58E-10,0.157598319
1.68,1.58E-10,0.158124333
1.7,1.59E-10,0.158744097
1.72,1.59E-10,0.159464921
1.74,1.60E-10,0.160295053
1.76,1.61E-10,0.161243821
1.78,1.62E-10,0.162321802
1.8,1.64E-10,0.163541021
1.82,1.65E-10,0.164915183
1.84,1.66E-10,0.166459959
1.86,1.68E-10,0.168193315
1.88,1.70E-10,0.170135922
1.9,1.72E-10,0.172311641
1.92,1.75E-10,0.174748115
1.94,1.77E-10,0.177477494
1.96,1.81E-10,0.180537316
1.98,1.84E-10,0.183971605
2,1.88E-10,0.187832217
2.02,1.92E-10,0.192180534
2.04,1.97E-10,0.197089569
2.06,2.03E-10,0.202646641
2.08,2.09E-10,0.20895675
2.1,2.16E-10,0.216146894
2.12,2.24E-10,0.224371612
2.14,2.34E-10,0.23382013
2.16,2.45E-10,0.244725641
2.18,2.57E-10,0.257377396
2.2,2.72E-10,0.27213649
2.22,2.89E-10,0.28945651
2.24,3.10E-10,0.309910406
2.26,3.34E-10,0.334225144
2.28,3.63E-10,0.363325406
2.3,3.98E-10,0.398386322
2.32,4.41E-10,0.440891343
2.34,4.93E-10,0.492681707
2.36,5.56E-10,0.555961892
2.38,6.33E-10,0.633178844
2.4,7.27E-10,0.726603698
2.42,8.37E-10,0.837302825
2.44,9.63E-10,0.963045721
2.46,1.09E-09,1.09482217
2.48,1.21E-09,1.212562806
2.5,1.28E-09,1.282276196
2.52,1.26E-09,1.255086578
2.54,1.05E-09,1.048468872
2.56,3.52E-10,0.352272347
2.58,-3.83E-09,-3.825864533
2.6,-8.10E-09,-8.103285308
2.62,-4.76E-09,-4.755231792
2.64,-2.96E-10,-0.296127786
2.66,2.76E-10,0.275527744
2.68,3.87E-10,0.387466201
2.7,4.01E-10,0.401057073
2.72,3.87E-10,0.386619398
2.74,3.64E-10,0.36437162
2.76,3.41E-10,0.341172423
2.78,3.19E-10,0.319435384
2.8,3.00E-10,0.299912595
2.82,2.83E-10,0.282704743
2.84,2.68E-10,0.267662326
2.86,2.55E-10,0.254552914
2.88,2.43E-10,0.243131565
2.9,2.33E-10,0.233169267
2.92,2.24E-10,0.224462791
2.94,2.17E-10,0.216836378
2.96,2.10E-10,0.210140012
2.98,2.04E-10,0.20424646
3,1.99E-10,0.199048081
3.02,1.94E-10,0.194453824
3.04,1.90E-10,0.190386573
3.06,1.87E-10,0.186780875
3.08,1.84E-10,0.183581021
3.1,1.81E-10,0.180739454
3.12,1.78E-10,0.178215446
3.14,1.76E-10,0.175974
3.16,1.74E-10,0.173984943
3.18,1.72E-10,0.172222175
3.2,1.71E-10,0.170663048
3.22,1.69E-10,0.169287843
3.24,1.68E-10,0.16807934
3.26,1.67E-10,0.167022455
3.28,1.66E-10,0.166103935
3.3,1.65E-10,0.165312103
3.32,1.65E-10,0.164636643
3.34,1.64E-10,0.164068415
3.36,1.64E-10,0.163599298
3.38,1.63E-10,0.16322206
3.4,1.63E-10,0.162930242
3.42,1.63E-10,0.162718061
3.44,1.63E-10,0.162580325
3.46,1.63E-10,0.162512362
3.48,1.63E-10,0.162509954
3.5,1.63E-10,0.162569285
3.52,1.63E-10,0.162686889
3.54,1.63E-10,0.162859614
3.56,1.63E-10,0.163084579
3.58,1.63E-10,0.163359146
3.6,1.64E-10,0.163680889
3.62,1.64E-10,0.164047567
3.64,1.64E-10,0.164457107
3.66,1.65E-10,0.164907576
3.68,1.65E-10,0.165397168
3.7,1.66E-10,0.165924188
3.72,1.66E-10,0.166487032
3.74,1.67E-10,0.167084181
3.76,1.68E-10,0.167714181
3.78,1.68E-10,0.168375638
3.8,1.69E-10,0.169067206
3.82,1.70E-10,0.169787575
3.84,1.71E-10,0.170535468
3.86,1.71E-10,0.171309626
3.88,1.72E-10,0.172108808
3.9,1.73E-10,0.172931779
3.92,1.74E-10,0.173777305
3.94,1.75E-10,0.174644149
3.96,1.76E-10,0.175531065
3.98,1.76E-10,0.176436791
4,1.77E-10,0.177360048
4.02,1.78E-10,0.178299532
4.04,1.79E-10,0.179253915
4.06,1.80E-10,0.180221838
4.08,1.81E-10,0.181201909
4.1,1.82E-10,0.182192702
4.12,1.83E-10,0.183192753
4.14,1.84E-10,0.18420056
4.16,1.85E-10,0.18521458
4.18,1.86E-10,0.186233232
4.2,1.87E-10,0.187254891
4.22,1.88E-10,0.188277895
4.24,1.89E-10,0.189300538
4.26,1.90E-10,0.19032108
4.28,1.91E-10,0.19133774
4.3,1.92E-10,0.192348707
4.32,1.93E-10,0.193352136
4.34,1.94E-10,0.194346154
4.36,1.95E-10,0.195328865
4.38,1.96E-10,0.196298353
4.4,1.97E-10,0.197252688
4.42,1.98E-10,0.198189932
4.44,1.99E-10,0.199108144
4.46,2.00E-10,0.200005386
4.48,2.01E-10,0.200879733
4.5,2.02E-10,0.201729277
4.52,2.03E-10,0.202552139
4.54,2.03E-10,0.203346473
4.56,2.04E-10,0.204110476
4.58,2.05E-10,0.204842396
4.6,2.06E-10,0.205540542
4.62,2.06E-10,0.206203293
4.64,2.07E-10,0.206829103
4.66,2.07E-10,0.207416514
4.68,2.08E-10,0.20796416
4.7,2.08E-10,0.20847078
4.72,2.09E-10,0.208935219
4.74,2.09E-10,0.209356441
4.76,2.10E-10,0.209733531
4.78,2.10E-10,0.210065706
4.8,2.10E-10,0.210352311
4.82,2.11E-10,0.210592835
4.84,2.11E-10,0.210786904
4.86,2.11E-10,0.210934291
4.88,2.11E-10,0.211034911
4.9,2.11E-10,0.211088827
4.92,2.11E-10,0.21109625
4.94,2.11E-10,0.211057533
4.96,2.11E-10,0.210973172
4.98,2.11E-10,0.210843803
5,2.11E-10,0.210767955
5,2.10E-10,0.209945653
5.02,2.10E-10,0.209795171
5.04,2.09E-10,0.209471396
5.06,2.09E-10,0.209102703
5.08,2.09E-10,0.208690558
5.1,2.08E-10,0.208236535
5.12,2.08E-10,0.207742308
5.14,2.07E-10,0.207209639
5.16,2.07E-10,0.206640373
5.18,2.06E-10,0.206036422
5.2,2.05E-10,0.20539976
5.22,2.05E-10,0.204732412
5.24,2.04E-10,0.204036442
5.26,2.03E-10,0.203313948
5.28,2.03E-10,0.202567047
5.3,2.02E-10,0.201797872
5.32,2.01E-10,0.201008559
5.34,2.00E-10,0.200201241
5.36,1.99E-10,0.19937804
5.38,1.99E-10,0.19854106
5.4,1.98E-10,0.197692383
5.42,1.97E-10,0.196834059
5.44,1.96E-10,0.195968103
5.46,1.95E-10,0.19509649
5.48,1.94E-10,0.194221152
5.5,1.93E-10,0.193343975
5.52,1.92E-10,0.192466791
5.54,1.92E-10,0.191591383
5.56,1.91E-10,0.190719479
5.58,1.90E-10,0.18985275
5.6,1.89E-10,0.188992812
5.62,1.88E-10,0.188141226
5.64,1.87E-10,0.187299493
5.66,1.86E-10,0.18646906
5.68,1.86E-10,0.185651319
5.7,1.85E-10,0.184847608
5.72,1.84E-10,0.184059212
5.74,1.83E-10,0.183287365
5.76,1.83E-10,0.182533254
5.78,1.82E-10,0.181798018
5.8,1.81E-10,0.181082753
5.82,1.80E-10,0.180388515
5.84,1.80E-10,0.179716319
5.86,1.79E-10,0.179067148
5.88,1.78E-10,0.178441951
5.9,1.78E-10,0.177841647
