Frequency,Mag,,Frequency,Angle
1,-1.632349826,,1,-71.51625818
1.02,-1.67624454,,1.02,-72.74260257
1.04,-1.719786033,,1.04,-73.9619515
1.06,-1.762939986,,1.06,-75.17449892
1.08,-1.805673084,,1.08,-76.38044466
1.1,-1.847952978,,1.1,-77.57999427
1.12,-1.889748241,,1.12,-78.77335891
1.14,-1.931028331,,1.14,-79.96075527
1.16,-1.971763541,,1.16,-81.14240557
1.18,-2.011924954,,1.18,-82.31853757
1.2,-2.051484396,,1.2,-83.48938464
1.22,-2.090414381,,1.22,-84.65518588
1.24,-2.128688062,,1.24,-85.81618629
1.26,-2.166279176,,1.26,-86.97263702
1.28,-2.203161988,,1.28,-88.12479563
1.3,-2.239311234,,1.3,-89.27292644
1.32,-2.274702059,,1.32,-90.41730097
1.34,-2.309309959,,1.34,-91.55819842
1.36,-2.343110714,,1.36,-92.6959062
1.38,-2.376080324,,1.38,-93.83072063
1.4,-2.408194939,,1.4,-94.96294767
1.42,-2.43943079,,1.42,-96.09290374
1.44,-2.469764113,,1.44,-97.22091671
1.46,-2.499171072,,1.46,-98.34732696
1.48,-2.527627677,,1.48,-99.47248864
1.5,-2.555109701,,1.5,-100.596771
1.52,-2.581592592,,1.52,-101.72056
1.54,-2.607051375,,1.54,-102.8442601
1.56,-2.631460555,,1.56,-103.968296
1.58,-2.654794013,,1.58,-105.0931152
1.6,-2.677024896,,1.6,-106.2191905
1.62,-2.698125497,,1.62,-107.3470226
1.64,-2.718067134,,1.64,-108.4771435
1.66,-2.736820015,,1.66,-109.6101203
1.68,-2.7543531,,1.68,-110.7465593
1.7,-2.770633956,,1.7,-111.8871107
1.72,-2.785628596,,1.72,-113.0324743
1.74,-2.799301317,,1.74,-114.1834056
1.76,-2.81161453,,1.76,-115.340723
1.78,-2.822528578,,1.78,-116.5053166
1.8,-2.832001555,,1.8,-117.678157
1.82,-2.839989119,,1.82,-118.8603073
1.84,-2.846444305,,1.84,-120.0529356
1.86,-2.851317352,,1.86,-121.2573307
1.88,-2.854555537,,1.88,-122.4749194
1.9,-2.856103049,,1.9,-123.707288
1.92,-2.855900899,,1.92,-124.956207
1.94,-2.853886912,,1.94,-126.2236608
1.96,-2.849995824,,1.96,-127.5118829
1.98,-2.844159542,,1.98,-128.8233982
2,-2.836307645,,2,-130.161074
2.02,-2.826368217,,2.02,-131.5281821
2.04,-2.814269188,,2.04,-132.9284737
2.06,-2.799940373,,2.06,-134.3662719
2.08,-2.783316556,,2.08,-135.8465853
2.1,-2.764342041,,2.1,-137.3752491
2.12,-2.742977381,,2.12,-138.9591006
2.14,-2.719209243,,2.14,-140.6062003
2.16,-2.693064917,,2.16,-142.3261105
2.18,-2.664633668,,2.18,-144.1302495
2.2,-2.634098333,,2.2,-146.032345
2.22,-2.601782323,,2.22,-148.049015
2.24,-2.568220076,,2.24,-150.2005187
2.26,-2.534263537,,2.26,-152.5117248
2.28,-2.501244544,,2.28,-155.0133608
2.3,-2.47122482,,2.3,-157.7436107
2.32,-2.447384259,,2.32,-160.7501238
2.34,-2.434628577,,2.34,-164.092446
2.36,-2.440544527,,2.36,-167.8447404
2.38,-2.476899498,,2.38,-172.0982973
2.4,-2.561968815,,2.4,-176.9625158
2.42,-2.724043431,,2.42,-182.5613905
2.44,-3.006407619,,2.44,-189.0196764
2.46,-3.473633287,,2.46,-196.4292489
2.48,-4.21798741,,2.48,-204.7851157
2.5,-5.363889853,,2.5,-213.8901533
2.52,-7.071923848,,2.52,-223.2498929
2.54,-9.561398256,,2.54,-231.9634
2.56,-13.22073685,,2.56,-238.3478447
2.58,-19.05819991,,2.58,-237.0361218
2.6,-27.82228081,,2.6,-183.2553954
2.62,-20.92669171,,2.62,-120.3488134
2.64,-16.0857068,,2.64,-114.7800576
2.66,-13.36370919,,2.66,-116.0845733
2.68,-11.59893969,,2.68,-118.7476571
2.7,-10.35683437,,2.7,-121.6640866
2.72,-9.434695999,,2.72,-124.522879
2.74,-8.723309314,,2.74,-127.2314059
2.76,-8.158023584,,2.76,-129.7698303
2.78,-7.697965454,,2.78,-132.1442888
2.8,-7.315998816,,2.8,-134.3696998
2.82,-6.993407713,,2.82,-136.4630302
2.84,-6.716879576,,2.84,-138.4406481
2.86,-6.476699533,,2.86,-140.3173677
2.88,-6.26562228,,2.88,-142.1062101
2.9,-6.078141932,,2.9,-143.8184622
2.92,-5.91000522,,2.92,-145.4638475
2.94,-5.757878561,,2.94,-147.0507264
2.96,-5.619115253,,2.96,-148.5862914
2.98,-5.491589489,,2.98,-150.0767426
3,-5.373575928,,3,-151.5274404
3.02,-5.263660956,,3.02,-152.9430349
3.04,-5.160676363,,3.04,-154.3275754
3.06,-5.06364914,,3.06,-155.6846016
3.08,-4.971763033,,3.08,-157.01722
3.1,-4.884328775,,3.1,-158.3281683
3.12,-4.800760817,,3.12,-159.6198682
3.14,-4.720558967,,3.14,-160.8944707
3.16,-4.64329378,,3.16,-162.1538938
3.18,-4.568594838,,3.18,-163.3998539
3.2,-4.496141283,,3.2,-164.6338931
3.22,-4.425654119,,3.22,-165.8574018
3.24,-4.356889904,,3.24,-167.0716381
3.26,-4.289635553,,3.26,-168.2777443
3.28,-4.223704045,,3.28,-169.4767614
3.3,-4.158930832,,3.3,-170.669641
3.32,-4.095170848,,3.32,-171.8572557
3.34,-4.032295985,,3.34,-173.0404086
3.36,-3.970192966,,3.36,-174.2198409
3.38,-3.908761542,,3.38,-175.3962385
3.4,-3.847912954,,3.4,-176.5702385
3.42,-3.787568622,,3.42,-177.742434
3.44,-3.72765902,,3.44,-178.9133786
3.46,-3.66812271,,3.46,179.9164093
3.48,-3.608905504,,3.48,178.7464434
3.5,-3.549959745,,3.5,177.576266
3.52,-3.491243683,,3.52,176.4054457
3.54,-3.432720925,,3.54,175.2335748
3.56,-3.374359968,,3.56,174.0602673
3.58,-3.316133777,,3.58,172.8851569
3.6,-3.258019428,,3.6,171.7078956
3.62,-3.199997789,,3.62,170.5281521
3.64,-3.142053238,,3.64,169.3456106
3.66,-3.08417342,,3.66,168.1599697
3.68,-3.026349027,,3.68,166.9709415
3.7,-2.96857361,,3.7,165.7782505
3.72,-2.910843403,,3.72,164.5816332
3.74,-2.853157179,,3.74,163.3808372
3.76,-2.795516109,,3.76,162.175621
3.78,-2.737923647,,3.78,160.965753
3.8,-2.680385417,,3.8,159.7510118
3.82,-2.62290912,,3.82,158.5311853
3.84,-2.565504445,,3.84,157.3060707
3.86,-2.508182986,,3.86,156.0754745
3.88,-2.450958173,,3.88,154.8392121
3.9,-2.393845201,,3.9,153.5971077
3.92,-2.336860965,,3.92,152.3489945
3.94,-2.280024002,,3.94,151.0947145
3.96,-2.223354434,,3.96,149.8341187
3.98,-2.166873912,,3.98,148.5670672
4,-2.110605559,,4,147.2934289
4.02,-2.054573921,,4.02,146.0130825
4.04,-1.998804909,,4.04,144.7259157
4.06,-1.943325746,,4.06,143.4318261
4.08,-1.888164912,,4.08,142.1307212
4.1,-1.833352087,,4.1,140.8225186
4.12,-1.77891809,,4.12,139.5071463
4.14,-1.724894817,,4.14,138.184543
4.16,-1.671315177,,4.16,136.8546582
4.18,-1.618213023,,4.18,135.517453
4.2,-1.565623082,,4.2,134.1728997
4.22,-1.513580874,,4.22,132.8209826
4.24,-1.462122638,,4.24,131.461698
4.26,-1.411285244,,4.26,130.0950548
4.28,-1.361106106,,4.28,128.7210745
4.3,-1.311623089,,4.3,127.3397914
4.32,-1.262874409,,4.32,125.9512531
4.34,-1.214898532,,4.34,124.5555206
4.36,-1.167734071,,4.36,123.1526685
4.38,-1.121419669,,4.38,121.742785
4.4,-1.075993888,,4.4,120.3259722
4.42,-1.031495091,,4.42,118.9023462
4.44,-0.987961319,,4.44,117.4720372
4.46,-0.945430165,,4.46,116.035189
4.48,-0.903938649,,4.48,114.5919596
4.5,-0.863523087,,4.5,113.1425208
4.52,-0.824218965,,4.52,111.687058
4.54,-0.7860608,,4.54,110.22577
4.56,-0.749082018,,4.56,108.7588688
4.58,-0.713314819,,4.58,107.2865792
4.6,-0.678790049,,4.6,105.8091383
4.62,-0.645537077,,4.62,104.3267954
4.64,-0.613583668,,4.64,102.8398109
4.66,-0.582955871,,4.66,101.3484563
4.68,-0.553677902,,4.68,99.85301308
4.7,-0.525772037,,4.7,98.35377236
4.72,-0.499258517,,4.72,96.85103385
4.74,-0.474155447,,4.74,95.34510521
4.76,-0.45047872,,4.76,93.8363011
4.78,-0.428241939,,4.78,92.32494235
4.8,-0.407456351,,4.8,90.81135494
4.82,-0.388130795,,4.82,89.29586907
4.84,-0.370271656,,4.84,87.77881812
4.86,-0.353882833,,4.86,86.26053764
4.88,-0.338965718,,4.88,84.74136433
4.9,-0.325519187,,4.9,83.22163493
4.92,-0.313539604,,4.92,81.70168522
4.94,-0.303020832,,4.94,80.18184893
4.96,-0.293954259,,4.96,78.66245674
4.98,-0.286328839,,4.98,77.14383525
5,-0.280131138,,5,75.62630597
5,-0.275685077,,5,75.31086104
5.02,-0.27181271,,5.02,73.79925233
5.04,-0.269321632,,5.04,72.28981057
5.06,-0.268187094,,5.06,70.78286423
5.08,-0.268382035,,5.08,69.27873164
5.1,-0.269877191,,5.1,67.77772019
5.12,-0.272641216,,5.12,66.28012554
5.14,-0.276640801,,5.14,64.78623096
5.16,-0.281840805,,5.16,63.29630673
5.18,-0.288204387,,5.18,61.81060959
5.2,-0.295693139,,5.2,60.32938226
5.22,-0.304267227,,5.22,58.85285305
5.24,-0.31388553,,5.24,57.38123553
5.26,-0.324505777,,5.26,55.91472828
5.28,-0.336084686,,5.28,54.45351468
5.3,-0.348578103,,5.3,52.9977628
5.32,-0.361941135,,5.32,51.54762532
5.34,-0.376128282,,5.34,50.10323955
5.36,-0.391093567,,5.36,48.66472746
5.38,-0.406790659,,5.38,47.23219578
5.4,-0.423172988,,5.4,45.80573619
5.42,-0.440193868,,5.42,44.38542546
5.44,-0.457806597,,5.44,42.97132574
5.46,-0.475964565,,5.46,41.56348479
5.48,-0.494621348,,5.48,40.16193629
5.5,-0.513730802,,5.5,38.76670019
5.52,-0.533247143,,5.52,37.37778305
5.54,-0.553125027,,5.54,35.9951784
5.56,-0.573319624,,5.56,34.61886714
5.58,-0.593786681,,5.58,33.24881791
5.6,-0.61448258,,5.6,31.88498754
5.62,-0.635364394,,5.62,30.52732141
5.64,-0.656389935,,5.64,29.17575389
5.66,-0.677517794,,5.66,27.83020871
5.68,-0.698707377,,5.68,26.49059942
5.7,-0.71991894,,5.7,25.15682971
5.72,-0.741113609,,5.72,23.82879386
5.74,-0.762253409,,5.74,22.50637706
5.76,-0.783301276,,5.76,21.18945581
5.78,-0.804221072,,5.78,19.87789821
5.8,-0.824977597,,5.8,18.57156435
5.82,-0.845536588,,5.82,17.27030656
5.84,-0.865864729,,5.84,15.97396974
5.86,-0.885929646,,5.86,14.68239157
