fre,l6=16mm,l6=17mm,l6=18mm,,l6=16mm,l6=17mm,l6=18mm,,,l6=16mm,l6=17mm,l6=18mm
Frequency,GD,GD,GD,,GD(ns),GD(ns),GD(ns),,Frequency,Angle,Angle,Angle
1,1.66E-10,1.68E-10,1.70E-10,,0.165726321,0.167537389,0.169512622,,1,-70.62843406,-71.07336918,-71.55782497
1.02,1.65E-10,1.67E-10,1.69E-10,,0.165179255,0.167011304,0.169014169,,1.02,-71.82166357,-72.27963837,-72.77831585
1.04,1.64E-10,1.66E-10,1.68E-10,,0.164096485,0.165971499,0.168031196,,1.04,-73.00701533,-73.47833196,-73.991629
1.06,1.63E-10,1.65E-10,1.67E-10,,0.163036686,0.164956725,0.167076491,,1.06,-74.18465296,-74.66962796,-75.19796507
1.08,1.62E-10,1.64E-10,1.66E-10,,0.16200032,0.163967571,0.166150843,,1.08,-75.3547436,-75.8537088,-76.39753047
1.1,1.61E-10,1.63E-10,1.65E-10,,0.160987809,0.163004591,0.165255022,,1.1,-76.51745757,-77.03076098,-77.59053721
1.12,1.60E-10,1.62E-10,1.64E-10,,0.159999534,0.162068307,0.164389785,,1.12,-77.67296806,-78.20097491,-78.77720279
1.14,1.59E-10,1.61E-10,1.64E-10,,0.159035837,0.161159213,0.163555884,,1.14,-78.82145086,-79.3645446,-79.95775012
1.16,1.58E-10,1.60E-10,1.63E-10,,0.158097033,0.160277783,0.16275407,,1.16,-79.96308412,-80.52166758,-81.13240752
1.18,1.57E-10,1.59E-10,1.62E-10,,0.157183406,0.159424471,0.1619851,,1.18,-81.09804814,-81.67254468,-82.30140872
1.2,1.56E-10,1.59E-10,1.61E-10,,0.156295213,0.158599718,0.161249747,,1.2,-82.22652516,-82.81737997,-83.46499296
1.22,1.55E-10,1.58E-10,1.61E-10,,0.155432694,0.157803954,0.160548803,,1.22,-83.34869921,-83.95638062,-84.62340508
1.24,1.55E-10,1.57E-10,1.60E-10,,0.154596067,0.157037604,0.159883092,,1.24,-84.46475595,-85.0897569,-85.77689573
1.26,1.54E-10,1.56E-10,1.59E-10,,0.153785538,0.156301093,0.15925347,,1.26,-85.57488258,-86.21772212,-86.92572159
1.28,1.53E-10,1.56E-10,1.59E-10,,0.153001301,0.155594848,0.158660842,,1.28,-86.6792677,-87.34049264,-88.07014569
1.3,1.52E-10,1.55E-10,1.58E-10,,0.152243542,0.154919305,0.158106166,,1.3,-87.77810132,-88.45828793,-89.21043772
1.32,1.52E-10,1.54E-10,1.58E-10,,0.151512443,0.154274912,0.157590463,,1.32,-88.87157471,-89.57133064,-90.34687448
1.34,1.51E-10,1.54E-10,1.57E-10,,0.150808182,0.153662131,0.157114831,,1.34,-89.95988049,-90.67984666,-91.47974039
1.36,1.50E-10,1.53E-10,1.57E-10,,0.150130943,0.153081451,0.156680451,,1.36,-91.04321254,-91.78406533,-92.60932805
1.38,1.49E-10,1.53E-10,1.56E-10,,0.149480911,0.152533384,0.156288604,,1.38,-92.12176607,-92.88421955,-93.73593889
1.4,1.49E-10,1.52E-10,1.56E-10,,0.148858282,0.152018477,0.155940681,,1.4,-93.19573765,-93.98054606,-94.85988395
