,l6=16mm,l6=17mm,l6=18mm
Frequency,mag,mag,mag
1,-1.763718339,-1.719868108,-1.675074109
1.02,-1.812657184,-1.766874395,-1.719788155
1.04,-1.861354206,-1.813585862,-1.764126157
1.06,-1.909778701,-1.859970461,-1.808053357
1.08,-1.95790123,-1.905997347,-1.851536047
1.1,-2.005693586,-1.951636842,-1.894541529
1.12,-2.053128766,-1.996860406,-1.937038068
1.14,-2.100180942,-2.041640606,-1.978994851
1.16,-2.146825428,-2.085951077,-2.020381936
1.18,-2.193038648,-2.129766494,-2.061170204
1.2,-2.238798101,-2.173062528,-2.10133131
1.22,-2.284082333,-2.21581582,-2.140837628
1.24,-2.328870901,-2.258003933,-2.179662201
1.26,-2.37314434,-2.299605328,-2.217778679
1.28,-2.416884133,-2.340599317,-2.25516127
1.3,-2.460072676,-2.380966029,-2.291784676
1.32,-2.502693252,-2.420686376,-2.327624036
1.34,-2.544729992,-2.45974201,-2.362654863
1.36,-2.586167854,-2.498115289,-2.396852982
1.38,-2.626992588,-2.535789233,-2.430194464
1.4,-2.667190708,-2.572747493,-2.46265556
1.42,-2.70674947,-2.608974301,-2.494212628
1.44,-2.74565684,-2.644454437,-2.524842067
1.46,-2.78390147,-2.679173182,-2.554520237
1.48,-2.82147268,-2.713116277,-2.583223384
1.5,-2.858360428,-2.746269876,-2.610927558
1.52,-2.894555292,-2.778620503,-2.637608527
1.54,-2.930048452,-2.810155001,-2.663241688
1.56,-2.96483167,-2.840860486,-2.687801976
1.58,-2.998897271,-2.870724297,-2.711263756
1.6,-3.032238134,-2.899733948,-2.733600727
1.62,-3.064847672,-2.927877078,-2.754785801
1.64,-3.096719827,-2.955141402,-2.774790985
1.66,-3.127849055,-2.981514668,-2.793587254
1.68,-3.158230322,-3.006984612,-2.811144404
1.7,-3.187859098,-3.031538922,-2.827430911
1.72,-3.216731354,-3.055165201,-2.842413756
1.74,-3.244843564,-3.077850943,-2.856058256
1.76,-3.272192708,-3.099583506,-2.868327866
1.78,-3.298776276,-3.120350104,-2.879183971
1.8,-3.32459228,-3.140137794,-2.888585659
1.82,-3.349639272,-3.158933479,-2.89648948
1.84,-3.373916356,-3.176723917,-2.902849189
1.86,-3.397423219,-3.193495738,-2.907615488
1.88,-3.420160157,-3.209235468,-2.910735762
1.9,-3.442128114,-3.223929567,-2.912153846
1.92,-3.463328727,-3.237564479,-2.911809833
1.94,-3.483764382,-3.250126699,-2.909639969
1.96,-3.503438276,-3.261602854,-2.90557668
1.98,-3.522354494,-3.271979823,-2.899548811
2,-3.540518104,-3.281244881,-2.891482156
2.02,-3.557935262,-3.289385901,-2.881300409
2.04,-3.57461334,-3.296391614,-2.868926679
2.06,-3.590561083,-3.302251955,-2.854285801
2.08,-3.605788784,-3.306958523,-2.837307737
2.1,-3.620308499,-3.310505189,-2.817932505
2.12,-3.634134303,-3.312888903,-2.796117331
2.14,-3.647282593,-3.314110762,-2.771847012
2.16,-3.659772449,-3.314177434,-2.745149066
2.18,-3.671626066,-3.313103054,-2.716116024
2.2,-3.682869281,-3.310911758,-2.684938533
2.22,-3.693532197,-3.307641082,-2.651954872
2.24,-3.703649948,-3.303346551,-2.617725706
2.26,-3.713263628,-3.298107902,-2.58314789
2.28,-3.72242142,-3.292037582,-2.549629404
2.3,-3.731179992,-3.285292429,-2.519360813
2.32,-3.739606213,-3.278089876,-2.495740434
2.34,-3.747779286,-3.27073062,-2.484045505
2.36,-3.755793411,-3.263630633,-2.49249663
2.38,-3.763761127,-3.257366884,-2.533943571
2.4,-3.771817546,-3.252743342,-2.628502314
2.42,-3.780125738,-3.250887462,-2.807551918
2.44,-3.788883639,-3.253393036,-3.119408836
2.46,-3.798332997,-3.262534543,-3.636429896
2.48,-3.808771027,-3.281593218,-4.462033975
2.5,-3.820565758,-3.315359827,-5.735476175
2.52,-3.834176424,-3.370919762,-7.638110964
2.54,-3.850180838,-3.458892025,-10.43001652
2.56,-3.869312544,-3.595397455,-14.61975809
2.58,-3.892511833,-3.805184758,-21.61560082
2.6,-3.920996667,-4.126540444,-26.01940094
2.62,-3.956362589,-4.618799555,-18.72435406
2.64,-4.000725473,-5.373377642,-14.85264668
2.66,-4.056928537,-6.529620647,-12.54574887
2.68,-4.128847309,-8.30066162,-11.00316849
2.7,-4.221846365,-11.03688926,-9.897159366
2.72,-4.343475163,-15.45624953,-9.065666277
2.74,-4.504546837,-23.27561755,-8.418176499
2.76,-4.720840402,-22.24512077,-7.899823377
2.78,-5.015833916,-16.05583767,-7.475335033
2.8,-5.425170993,-12.75726477,-7.121002367
2.82,-6.00410616,-10.7327221,-6.820315524
2.84,-6.84028763,-9.3691631,-6.561440562
2.86,-8.077047255,-8.394394248,-6.335686828
2.88,-9.961668651,-7.666912998,-6.136538244
2.9,-12.97142024,-7.105407881,-5.959020415
2.92,-18.22925681,-6.659869472,-5.799275361
2.94,-24.89413378,-6.29796907,-5.654268739
2.96,-17.82539843,-5.997979982,-5.521583961
2.98,-13.1201363,-5.744831061,-5.399274668
3,-10.41365314,-5.527786053,-5.285757237
3.02,-8.686120555,-5.339020026,-5.179731259
3.04,-7.511185621,-5.172715182,-5.080119906
3.06,-6.675441664,-5.02446938,-4.986024646
3.08,-6.059246834,-4.890899235,-4.896690461
3.1,-5.590757978,-4.769367748,-4.811478856
3.12,-5.224766094,-4.657793643,-4.729846698
3.14,-4.931783955,-4.55451548,-4.651329489
3.16,-4.691999236,-4.458193243,-4.575528026
3.18,-4.491753662,-4.367735993,-4.502097685
3.2,-4.321414745,-4.282247984,-4.430739739
3.22,-4.17404926,-4.200988014,-4.361194295
3.24,-4.044574268,-4.123338419,-4.293234496
3.26,-3.929200836,-4.048781169,-4.226661741
3.28,-3.825061708,-3.976879257,-4.161301715
3.3,-3.729957189,-3.907262088,-4.097001089
3.32,-3.642178607,-3.839613893,-4.033624748
3.34,-3.560383615,-3.773664488,-3.971053458
3.36,-3.483506774,-3.709181835,-3.909181897
3.38,-3.410694527,-3.645966019,-3.847916983
3.4,-3.341257284,-3.583844344,-3.787176451
3.42,-3.274633687,-3.522667304,-3.726887629
3.44,-3.21036366,-3.462305266,-3.6669864
3.46,-3.14806787,-3.402645718,-3.607416298
3.48,-3.087431917,-3.343590977,-3.548127734
3.5,-3.028194051,-3.285056269,-3.489077325
3.52,-2.970135557,-3.226968118,-3.430227308
3.54,-2.913073157,-3.169262983,-3.371545036
3.56,-2.856852967,-3.111886104,-3.313002534
3.58,-2.801345651,-3.054790516,-3.254576115
3.6,-2.746442522,-2.99793622,-3.196246039
3.62,-2.692052368,-2.941289457,-3.137996218
3.64,-2.638098867,-2.884822092,-3.079813953
3.66,-2.584518462,-2.828511086,-3.021689705
3.68,-2.531258609,-2.772338036,-2.963616895
3.7,-2.478276323,-2.716288773,-2.905591716
3.72,-2.425536971,-2.660353019,-2.847612984
3.74,-2.373013252,-2.604524082,-2.789681985
3.76,-2.320684349,-2.548798594,-2.731802356
3.78,-2.268535206,-2.493176279,-2.67397997
3.8,-2.216555919,-2.437659746,-2.616222828
3.82,-2.164741216,-2.382254308,-2.558540973
3.84,-2.113090009,-2.326967825,-2.500946402
3.86,-2.06160501,-2.271810554,-2.443452989
3.88,-2.010292402,-2.216795024,-2.386076411
3.9,-1.959161545,-2.161935915,-2.328834085
3.92,-1.908224729,-2.107249952,-2.271745099
3.94,-1.857496946,-2.052755808,-2.214830156
3.96,-1.806995693,-1.998474008,-2.158111513
3.98,-1.756740794,-1.944426845,-2.101612923
4,-1.706754237,-1.890638294,-2.045359579
4.02,-1.657060027,-1.837133937,-1.989378058
4.04,-1.60768405,-1.78394088,-1.933696259
4.06,-1.558653941,-1.73108768,-1.87834335
4.08,-1.509998965,-1.678604267,-1.823349702
4.1,-1.461749898,-1.626521868,-1.768746828
4.12,-1.413938913,-1.574872925,-1.714567318
4.14,-1.366599466,-1.523691022,-1.66084477
4.16,-1.319766189,-1.473010794,-1.607613715
4.18,-1.273474773,-1.42286785,-1.554909547
4.2,-1.22776186,-1.373298678,-1.502768435
4.22,-1.182664924,-1.324340559,-1.451227246
4.24,-1.138222157,-1.276031464,-1.400323453
4.26,-1.094472351,-1.228409961,-1.350095041
4.28,-1.051454769,-1.181515107,-1.300580414
4.3,-1.009209027,-1.135386339,-1.251818287
4.32,-0.967774957,-1.090063364,-1.203847583
4.34,-0.927192479,-1.04558604,-1.156707322
4.36,-0.887501462,-1.001994255,-1.110436502
4.38,-0.848741584,-0.959327802,-1.065073988
4.4,-0.810952189,-0.91762625,-1.020658379
4.42,-0.774172142,-0.876928814,-0.977227891
4.44,-0.738439678,-0.837274218,-0.934820224
4.46,-0.703792255,-0.798700559,-0.893472431
4.48,-0.670266405,-0.761245169,-0.853220788
4.5,-0.637897575,-0.724944473,-0.81410066
4.52,-0.606719983,-0.689833854,-0.776146367
4.54,-0.576766466,-0.655947506,-0.739391051
4.56,-0.54806833,-0.623318302,-0.703866545
4.58,-0.52065521,-0.591977658,-0.669603246
4.6,-0.494554921,-0.561955395,-0.636629982
4.62,-0.469793332,-0.533279614,-0.604973899
4.64,-0.446394228,-0.505976572,-0.574660335
4.66,-0.42437919,-0.480070563,-0.545712715
4.68,-0.40376748,-0.455583805,-0.518152443
