,l3=15mm,l3=17mm,l3=19mm,,,l3=15mm,l3=17mm,l3=19mm,l3=15mm,l3=17mm,l3=19mm
Frequency,ang,ang,ang,,Frequency,GD,GD,GD,GD(ns),GD(ns),GD(ns)
1,-71.55782497,-71.598072,-71.8444117,,1,1.70E-10,1.63E-10,1.57E-10,0.169512622,0.163059274,0.157147195
1.02,-72.77831585,-72.77209877,-72.9758715,,1.02,1.69E-10,1.62E-10,1.57E-10,0.169014169,0.162481124,0.156507465
1.04,-73.991629,-73.93780019,-74.09811919,,1.04,1.68E-10,1.61E-10,1.55E-10,0.168031196,0.161342139,0.155249277
1.06,-75.19796507,-75.09542556,-75.21146109,,1.06,1.67E-10,1.60E-10,1.54E-10,0.167076491,0.16023806,0.154033766
1.08,-76.39753047,-76.24522824,-76.31620542,,1.08,1.66E-10,1.59E-10,1.53E-10,0.166150843,0.159169433,0.152861175
1.1,-77.59053721,-77.3874654,-77.41266201,,1.1,1.65E-10,1.58E-10,1.52E-10,0.165255022,0.158136778,0.151731721
1.12,-78.77720279,-78.52239785,-78.5011422,,1.12,1.64E-10,1.57E-10,1.51E-10,0.164389785,0.157140593,0.1506456
1.14,-79.95775012,-79.65028993,-79.58195865,,1.14,1.64E-10,1.56E-10,1.50E-10,0.163555884,0.156181362,0.149602997
1.16,-81.13240752,-80.77140946,-80.65542536,,1.16,1.63E-10,1.55E-10,1.49E-10,0.16275407,0.155259565,0.148604095
1.18,-82.30140872,-81.88602767,-81.72185762,,1.18,1.62E-10,1.54E-10,1.48E-10,0.1619851,0.154375684,0.147649079
1.2,-83.46499296,-82.9944193,-82.7815721,,1.2,1.61E-10,1.54E-10,1.47E-10,0.161249747,0.153530207,0.146738146
1.22,-84.62340508,-84.09686265,-83.83488692,,1.22,1.61E-10,1.53E-10,1.46E-10,0.160548803,0.15272364,0.145871513
1.24,-85.77689573,-85.19363972,-84.88212188,,1.24,1.60E-10,1.52E-10,1.45E-10,0.159883092,0.151956515,0.145049423
1.26,-86.92572159,-86.28503646,-85.92359862,,1.26,1.59E-10,1.51E-10,1.44E-10,0.15925347,0.151229391,0.144272156
