,l3=15mm,l3=17mm,l3=19mm
Frequency,mag,mag,mag
1,-1.675074109,-1.964010674,-2.250971656
1.02,-1.719788155,-2.013927431,-2.305105128
1.04,-1.764126157,-2.06329622,-2.358483147
1.06,-1.808053357,-2.112081114,-2.411069962
1.08,-1.851536047,-2.160247614,-2.462831603
1.1,-1.894541529,-2.207762591,-2.513735798
1.12,-1.937038068,-2.254594223,-2.563751878
1.14,-1.978994851,-2.300711925,-2.612850693
1.16,-2.020381936,-2.346086288,-2.661004524
1.18,-2.061170204,-2.390689007,-2.708186999
1.2,-2.10133131,-2.434492821,-2.75437301
1.22,-2.140837628,-2.477471441,-2.799538631
1.24,-2.179662201,-2.519599486,-2.843661036
1.26,-2.217778679,-2.560852414,-2.886718427
1.28,-2.25516127,-2.601206458,-2.928689952
1.3,-2.291784676,-2.640638555,-2.969555632
1.32,-2.327624036,-2.679126281,-3.009296291
1.34,-2.362654863,-2.716647783,-3.04789348
1.36,-2.396852982,-2.753181711,-3.08532941
1.38,-2.430194464,-2.788707152,-3.121586884
1.4,-2.46265556,-2.823203555,-3.156649228
1.42,-2.494212628,-2.856650669,-3.190500223
1.44,-2.524842067,-2.889028466,-3.223124043
1.46,-2.554520237,-2.920317076,-3.254505191
1.48,-2.583223384,-2.950496706,-3.284628428
1.5,-2.610927558,-2.979547569,-3.313478718
1.52,-2.637608527,-3.007449809,-3.341041158
1.54,-2.663241688,-3.034183418,-3.367300917
1.56,-2.687801976,-3.059728155,-3.392243171
1.58,-2.711263756,-3.084063461,-3.41585304
1.6,-2.733600727,-3.10716837,-3.438115525
1.62,-2.754785801,-3.129021418,-3.459015437
1.64,-2.774790985,-3.14960054,-3.478537338
1.66,-2.793587254,-3.168882976,-3.496665469
1.68,-2.811144404,-3.186845153,-3.513383687
1.7,-2.827430911,-3.20346258,-3.528675395
1.72,-2.842413756,-3.218709719,-3.542523478
1.74,-2.856058256,-3.232559862,-3.554910232
1.76,-2.868327866,-3.244984987,-3.565817303
1.78,-2.879183971,-3.255955617,-3.575225625
1.8,-2.888585659,-3.265440659,-3.583115365
1.82,-2.89648948,-3.273407237,-3.589465877
1.84,-2.902849189,-3.279820515,-3.594255663
1.86,-2.907615488,-3.284643506,-3.597462366
1.88,-2.910735762,-3.287836877,-3.599062776
1.9,-2.912153846,-3.289358744,-3.599032882
1.92,-2.911809833,-3.289164487,-3.597347976
1.94,-2.909639969,-3.287206585,-3.59398283
1.96,-2.90557668,-3.283434528,-3.588911973
1.98,-2.899548811,-3.277794857,-3.582110113
2,-2.891482156,-3.270231455,-3.573552742
2.02,-2.881300409,-3.260686219,-3.563217015
2.04,-2.868926679,-3.249100347,-3.551082976
2.06,-2.854285801,-3.235416471,-3.537135293
2.08,-2.837307737,-3.219581908,-3.521365662
