Frequency,ADS,,Theory,,HFSS 
1000000000,-67.73552558,,-69.53317761,,-71.51625818
1020000000,-68.85943475,,-70.68116777,,-72.74260257
1040000000,-69.97517836,,-71.82062712,,-73.9619515
1060000000,-71.08292666,,-72.95174,,-75.17449892
1080000000,-72.1828533,,-74.0746938,,-76.38044466
1100000000,-73.27513499,,-75.18967861,,-77.57999427
1120000000,-74.35995126,,-76.29688689,,-78.77335891
1140000000,-75.43748422,,-77.39651324,,-79.96075527
1160000000,-76.50791835,,-78.48875416,,-81.14240557
1180000000,-77.57144031,,-79.57380785,,-82.31853757
1200000000,-78.62823884,,-80.65187403,,-83.48938464
1220000000,-79.67850463,,-81.72315382,,-84.65518588
1240000000,-80.72243024,,-82.78784963,,-85.81618629
1260000000,-81.76021005,,-83.84616511,,-86.97263702
1280000000,-82.79204024,,-84.89830511,,-88.12479563
1300000000,-83.81811883,,-85.94447562,,-89.27292644
1320000000,-84.83864573,,-86.9848839,,-90.41730097
1340000000,-85.85382278,,-88.01973844,,-91.55819842
1360000000,-86.86385393,,-89.04924912,,-92.6959062
1380000000,-87.86894535,,-90.07362731,,-93.83072063
1400000000,-88.86930567,,-91.09308604,,-94.96294767
1420000000,-89.86514617,,-92.10784022,,-96.09290374
1440000000,-90.85668119,,-93.11810684,,-97.22091671
1460000000,-91.8441281,,-94.12410534,,-98.34732696
1480000000,-92.82770818,,-95.12605784,,-99.47248864
1500000000,-93.80764677,,-96.12418962,,-100.596771
1520000000,-94.7841738,,-97.11872951,,-101.72056
1540000000,-95.7575244,,-98.10991039,,-102.8442601
1560000000,-96.72793954,,-99.09796981,,-103.968296
1580000000,-97.69566675,,-100.0831506,,-105.0931152
1600000000,-98.66096102,,-101.0657015,,-106.2191905
1620000000,-99.62408568,,-102.0458784,,-107.3470226
1640000000,-100.5853135,,-103.0239445,,-108.4771435
1660000000,-101.5449279,,-104.0001724,,-109.6101203
1680000000,-102.5032245,,-104.9748443,,-110.7465593
1700000000,-103.4605124,,-105.9482541,,-111.8871107
1720000000,-104.4171163,,-106.9207088,,-113.0324743
1740000000,-105.3733782,,-107.8925299,,-114.1834056
1760000000,-106.3296603,,-108.864056,,-115.340723
1780000000,-107.2863473,,-109.8356448,,-116.5053166
1800000000,-108.2438499,,-110.8076762,,-117.678157
1820000000,-109.2026079,,-111.7805549,,-118.8603073
1840000000,-110.1630954,,-112.7547144,,-120.0529356
1860000000,-111.1258247,,-113.7306216,,-121.2573307
1880000000,-112.0913531,,-114.7087808,,-122.4749194
1900000000,-113.0602891,,-115.6897408,,-123.707288
1920000000,-114.033301,,-116.6741008,,-124.956207
1940000000,-115.0111261,,-117.6625191,,-126.2236608
1960000000,-115.9945829,,-118.6557231,,-127.5118829
1980000000,-116.9845841,,-119.6545204,,-128.8233982
2000000000,-117.9821543,,-120.6598137,,-130.161074
2020000000,-118.9884497,,-121.6726174,,-131.5281821
2040000000,-120.0047835,,-122.6940789,,-132.9284737
2060000000,-121.0326561,,-123.7255046,,-134.3662719
2080000000,-122.0737937,,-124.7683913,,-135.8465853
2100000000,-123.1301958,,-125.8244664,,-137.3752491
2120000000,-124.2041952,,-126.8957382,,-138.9591006
2140000000,-125.2985348,,-127.9845593,,-140.6062003
2160000000,-126.4164654,,-129.0937084,,-142.3261105
2180000000,-127.5618743,,-130.2264959,,-144.1302495
2200000000,-128.739452,,-131.3869024,,-146.032345
2220000000,-129.954916,,-132.5797622,,-148.049015
2240000000,-131.215311,,-133.8110097,,-150.2005187
2260000000,-132.5294197,,-135.0880153,,-152.5117248
2280000000,-133.9083338,,-136.4200506,,-155.0133608
2300000000,-135.3662606,,-137.8189426,,-157.7436107
2320000000,-136.9216855,,-139.3000142,,-160.7501238
2340000000,-138.599081,,-140.8834622,,-164.092446
2360000000,-140.4314798,,-142.596424,,-167.8447404
2380000000,-142.4644417,,-144.4761585,,-172.0982973
2400000000,-144.762334,,-146.5750771,,-176.9625158
2420000000,-147.4185459,,-148.9689428,,-182.5613905
2440000000,-150.5725193,,-151.7706449,,-189.0196764
2460000000,-154.4386427,,-155.1540073,,-196.4292489
2480000000,-159.354921,,-159.3956608,,-204.7851157
2500000000,-165.8583991,,-164.947338,,-213.8901533
2520000000,-174.7611237,,-172.5435032,,-223.2498929
2540000000,-187.0114341,,-183.2500661,,-231.9634
2560000000,-202.5491625,,-197.8495401,,-238.3478447
2580000000,-217.3566383,,-213.9307107,,-237.0361218
2600000000,-219.7366614,,-220.4338231,,-183.2553954
2620000000,-177.7868418,,-186.1887361,,-120.3488134
2640000000,-136.645749,,-142.4073622,,-114.7800576
2660000000,-129.1681957,,-133.9580338,,-116.0845733
2680000000,-128.8577912,,-133.5878113,,-118.7476571
2700000000,-130.1775564,,-134.9641096,,-121.6640866
2720000000,-131.8886197,,-136.7319724,,-124.522879
2740000000,-133.6462137,,-138.5329329,,-127.2314059
2760000000,-135.3479083,,-140.267064,,-129.7698303
2780000000,-136.9675476,,-141.9121931,,-132.1442888
2800000000,-138.504499,,-143.4707509,,-134.3696998
2820000000,-139.9663509,,-144.952377,,-136.4630302
2840000000,-141.3626761,,-146.3679528,,-138.4406481
2860000000,-142.7027872,,-147.7276051,,-140.3173677
2880000000,-143.9950041,,-149.0401498,,-142.1062101
2900000000,-145.2465049,,-150.3130587,,-143.8184622
2920000000,-146.4633923,,-151.5525996,,-145.4638475
2940000000,-147.6508278,,-152.7640189,,-147.0507264
2960000000,-148.8131771,,-153.9517161,,-148.5862914
2980000000,-149.9541418,,-155.1193958,,-150.0767426
3000000000,-151.0768742,,-156.2701942,,-151.5274404
3020000000,-152.1840717,,-157.406782,,-152.9430349
3040000000,-153.2780558,,-158.5314482,,-154.3275754
3060000000,-154.3608359,,-159.6461673,,-155.6846016
3080000000,-155.4341615,,-160.7526536,,-157.01722
3100000000,-156.499565,,-161.8524052,,-158.3281683
3120000000,-157.5583966,,-162.9467395,,-159.6198682
3140000000,-158.6118532,,-164.0368226,,-160.8944707
3160000000,-159.6610014,,-165.1236927,,-162.1538938
3180000000,-160.7067979,,-166.2082801,,-163.3998539
3200000000,-161.7501052,,-167.291423,,-164.6338931
3220000000,-162.7917054,,-168.3738812,,-165.8574018
3240000000,-163.8323112,,-169.4563474,,-167.0716381
3260000000,-164.8725761,,-170.5394562,,-168.2777443
3280000000,-165.9131018,,-171.6237922,,-169.4767614
3300000000,-166.9544454,,-172.7098968,,-170.669641
3320000000,-167.9971253,,-173.7982734,,-171.8572557
3340000000,-169.0416259,,-174.8893928,,-173.0404086
3360000000,-170.088402,,-175.9836967,,-174.2198409
3380000000,-171.1378824,,-177.0816014,,-175.3962385
3400000000,-172.190473,,-178.1835009,,-176.5702385
3420000000,-173.2465596,,-179.289769,,-177.742434
3440000000,-174.3065101,,179.599238,,-178.9133786
3460000000,-175.3706766,,178.4831797,,179.9164093
3480000000,-176.4393972,,177.3617303,,178.7464434
3500000000,-177.5129972,,176.2345768,,177.576266
3520000000,-178.5917907,,175.1014181,,176.4054457
3540000000,-179.6760816,,173.9619641,,175.2335748
3560000000,179.2338356,,172.8159347,,174.0602673
3580000000,178.1376749,,171.6630595,,172.8851569
3600000000,177.035158,,170.503077,,171.7078956
3620000000,175.9260141,,169.3357343,,170.5281521
3640000000,174.809979,,168.1607869,,169.3456106
3660000000,173.6867953,,166.9779983,,168.1599697
3680000000,172.5562115,,165.7871401,,166.9709415
3700000000,171.4179826,,164.5879919,,165.7782505
3720000000,170.2718693,,163.3803415,,164.5816332
3740000000,169.1176383,,162.1639848,,163.3808372
3760000000,167.9550624,,160.938726,,162.175621
3780000000,166.7839205,,159.7043783,,160.965753
3800000000,165.6039977,,158.4607635,,159.7510118
3820000000,164.4150858,,157.2077131,,158.5311853
3840000000,163.2169833,,155.9450684,,157.3060707
3860000000,162.0094961,,154.6726808,,156.0754745
3880000000,160.7924374,,153.3904127,,154.8392121
3900000000,159.5656288,,152.0981379,,153.5971077
3920000000,158.3289002,,150.7957423,,152.3489945
3940000000,157.0820907,,149.4831243,,151.0947145
3960000000,155.8250492,,148.1601958,,149.8341187
3980000000,154.5576349,,146.8268828,,148.5670672
4000000000,153.2797182,,145.4831261,,147.2934289
4020000000,151.9911812,,144.1288818,,146.0130825
4040000000,150.6919187,,142.7641227,,144.7259157
4060000000,149.3818387,,141.3888384,,143.4318261
4080000000,148.0608636,,140.0030363,,142.1307212
4100000000,146.7289308,,138.6067425,,140.8225186
4120000000,145.3859935,,137.2000023,,139.5071463
4140000000,144.0320218,,135.7828808,,138.184543
4160000000,142.6670035,,134.3554641,,136.8546582
4180000000,141.2909449,,132.9178591,,135.517453
4200000000,139.9038717,,131.4701948,,134.1728997
4220000000,138.50583,,130.0126224,,132.8209826
4240000000,137.0968867,,128.5453158,,131.461698
4260000000,135.6771309,,127.0684717,,130.0950548
4280000000,134.2466739,,125.5823105,,128.7210745
4300000000,132.8056504,,124.0870755,,127.3397914
4320000000,131.354219,,122.5830337,,125.9512531
4340000000,129.8925625,,121.0704753,,124.5555206
4360000000,128.4208885,,119.5497138,,123.1526685
4380000000,126.9394298,,118.021085,,121.742785
4400000000,125.4484442,,116.4849473,,120.3259722
4420000000,123.948215,,114.9416805,,118.9023462
4440000000,122.4390506,,113.3916852,,117.4720372
4460000000,120.9212847,,111.8353819,,116.035189
4480000000,119.3952755,,110.27321,,114.5919596
4500000000,117.8614054,,108.7056263,,113.1425208
4520000000,116.3200803,,107.133104,,111.687058
4540000000,114.7717288,,105.556131,,110.22577
4560000000,113.2168011,,103.9752086,,108.7588688
4580000000,111.6557681,,102.3908492,,107.2865792
4600000000,110.0891196,,100.8035753,,105.8091383
4620000000,108.5173631,,99.21391703,,104.3267954
4640000000,106.9410225,,97.6224105,,102.8398109
4660000000,105.3606357,,96.02959567,,101.3484563
4680000000,103.7767531,,94.43601443,,99.85301308
4700000000,102.1899356,,92.84220847,,98.35377236
4720000000,100.6007524,,91.24871729,,96.85103385
4740000000,99.00977892,,89.65607614,,95.34510521
4760000000,97.41759466,,88.06481409,,93.8363011
4780000000,95.82478073,,86.47545201,,92.32494235
4800000000,94.23191778,,84.88850079,,90.81135494
