Frequency,ADS,,Theory,,HFSS
1000000000,-1.92527226,,-1.955379864,,-1.632349826
1020000000,-1.975685176,,-2.006126818,,-1.67624454
1040000000,-2.025778386,,-2.056494759,,-1.719786033
1060000000,-2.075517141,,-2.106448511,,-1.762939986
1080000000,-2.124867801,,-2.155954155,,-1.805673084
1100000000,-2.173797789,,-2.204978985,,-1.847952978
1120000000,-2.222275547,,-2.253491449,,-1.889748241
1140000000,-2.270270491,,-2.301461106,,-1.931028331
1160000000,-2.317752961,,-2.348858567,,-1.971763541
1180000000,-2.364694172,,-2.395655443,,-2.011924954
1200000000,-2.411066163,,-2.441824288,,-2.051484396
1220000000,-2.456841744,,-2.487338545,,-2.090414381
1240000000,-2.501994441,,-2.532172485,,-2.128688062
1260000000,-2.546498443,,-2.576301153,,-2.166279176
1280000000,-2.590328541,,-2.619700306,,-2.203161988
1300000000,-2.633460074,,-2.662346352,,-2.239311234
1320000000,-2.675868868,,-2.704216292,,-2.274702059
1340000000,-2.717531173,,-2.745287656,,-2.309309959
1360000000,-2.758423598,,-2.785538438,,-2.343110714
1380000000,-2.798523051,,-2.824947036,,-2.376080324
1400000000,-2.837806666,,-2.863492177,,-2.408194939
1420000000,-2.876251732,,-2.901152856,,-2.43943079
1440000000,-2.913835621,,-2.93790826,,-2.469764113
1460000000,-2.950535712,,-2.973737696,,-2.499171072
1480000000,-2.986329303,,-3.008620513,,-2.527627677
1500000000,-3.021193532,,-3.042536023,,-2.555109701
1520000000,-3.055105281,,-3.075463411,,-2.581592592
1540000000,-3.088041078,,-3.107381653,,-2.607051375
1560000000,-3.119976994,,-3.138269411,,-2.631460555
1580000000,-3.150888528,,-3.168104937,,-2.654794013
1600000000,-3.180750485,,-3.196865957,,-2.677024896
1620000000,-3.209536843,,-3.224529558,,-2.698125497
1640000000,-3.237220608,,-3.251072053,,-2.718067134
1660000000,-3.26377365,,-3.276468839,,-2.736820015
1680000000,-3.289166533,,-3.300694247,,-2.7543531
1700000000,-3.313368312,,-3.323721361,,-2.770633956
1720000000,-3.336346324,,-3.345521836,,-2.785628596
1740000000,-3.358065935,,-3.366065679,,-2.799301317
1760000000,-3.378490276,,-3.385321016,,-2.81161453
1780000000,-3.397579929,,-3.403253821,,-2.822528578
1800000000,-3.415292584,,-3.419827617,,-2.832001555
1820000000,-3.431582641,,-3.435003132,,-2.839989119
1840000000,-3.446400761,,-3.44873791,,-2.846444305
1860000000,-3.459693348,,-3.460985867,,-2.851317352
1880000000,-3.471401962,,-3.471696776,,-2.854555537
1900000000,-3.48146263,,-3.480815681,,-2.856103049
1920000000,-3.489805056,,-3.488282214,,-2.855900899
1940000000,-3.4963517,,-3.494029799,,-2.853886912
1960000000,-3.501016705,,-3.497984726,,-2.849995824
1980000000,-3.503704633,,-3.500065066,,-2.844159542
2000000000,-3.50430898,,-3.500179392,,-2.836307645
2020000000,-3.502710422,,-3.498225261,,-2.826368217
2040000000,-3.498774728,,-3.494087419,,-2.814269188
2060000000,-3.492350275,,-3.487635652,,-2.799940373
2080000000,-3.483265058,,-3.478722205,,-2.783316556
2100000000,-3.47132311,,-3.467178679,,-2.764342041
2120000000,-3.45630016,,-3.452812264,,-2.742977381
2140000000,-3.437938361,,-3.435401159,,-2.719209243
2160000000,-3.415939877,,-3.414688968,,-2.693064917
2180000000,-3.389959031,,-3.390377812,,-2.664633668
2200000000,-3.359592681,,-3.362119848,,-2.634098333
2220000000,-3.324368422,,-3.329506761,,-2.601782323
2240000000,-3.283730122,,-3.292056761,,-2.568220076
2260000000,-3.237020325,,-3.24919848,,-2.534263537
2280000000,-3.183459091,,-3.200251151,,-2.501244544
2300000000,-3.122119258,,-3.144400529,,-2.47122482
2320000000,-3.0518991,,-3.080670423,,-2.447384259
2340000000,-2.971495891,,-3.007891045,,-2.434628577
2360000000,-2.879389836,,-2.924668625,,-2.440544527
2380000000,-2.773861858,,-2.829369028,,-2.476899498
2400000000,-2.653102004,,-2.720148195,,-2.561968815
2420000000,-2.515546188,,-2.59511243,,-2.724043431
2440000000,-2.360782255,,-2.452820049,,-3.006407619
2460000000,-2.191895335,,-2.293677974,,-3.473633287
2480000000,-2.021543606,,-2.123737201,,-4.21798741
2500000000,-1.887894359,,-1.96512733,,-5.363889853
2520000000,-1.89605802,,-1.8852142,,-7.071923848
2540000000,-2.315000582,,-2.075738704,,-9.561398256
2560000000,-3.723278553,,-3.026557093,,-13.22073685
2580000000,-6.963201968,,-5.665799139,,-19.05819991
2600000000,-12.72945646,,-10.95614678,,-27.82228081
2620000000,-18.55348253,,-17.19393517,,-20.92669171
2640000000,-15.20110539,,-14.58685019,,-16.0857068
2660000000,-12.0208482,,-11.39722319,,-13.36370919
2680000000,-10.16356096,,-9.550952624,,-11.59893969
2700000000,-8.988110429,,-8.40232425,,-10.35683437
2720000000,-8.184447251,,-7.627421136,,-9.434695999
2740000000,-7.601837823,,-7.070947176,,-8.723309314
2760000000,-7.160024497,,-6.651597428,,-8.158023584
2780000000,-6.812798123,,-6.323266239,,-7.697965454
2800000000,-6.53183693,,-6.058061932,,-7.315998816
2820000000,-6.298886714,,-5.838206175,,-6.993407713
2840000000,-6.101687535,,-5.651871261,,-6.716879576
2860000000,-5.931718294,,-5.490903129,,-6.476699533
2880000000,-5.782882653,,-5.349508998,,-6.26562228
2900000000,-5.650709789,,-5.223466759,,-6.078141932
2920000000,-5.531850106,,-5.109630329,,-5.91000522
2940000000,-5.423746794,,-5.005609903,,-5.757878561
2960000000,-5.324415927,,-4.909559281,,-5.619115253
2980000000,-5.232295593,,-4.820030836,,-5.491589489
3000000000,-5.146140128,,-4.735874381,,-5.373575928
3020000000,-5.064944537,,-4.656165236,,-5.263660956
3040000000,-4.987889536,,-4.580152165,,-5.160676363
3060000000,-4.914300955,,-4.507219062,,-5.06364914
3080000000,-4.84361934,,-4.436856362,,-4.971763033
3100000000,-4.775376872,,-4.368639419,,-4.884328775
3120000000,-4.709179661,,-4.302211957,,-4.800760817
3140000000,-4.64469399,,-4.237273256,,-4.720558967
3160000000,-4.581635542,,-4.173568144,,-4.64329378
3180000000,-4.519760873,,-4.11087909,,-4.568594838
3200000000,-4.458860611,,-4.049019921,,-4.496141283
3220000000,-4.398753987,,-3.987830773,,-4.425654119
3240000000,-4.339284409,,-3.927174019,,-4.356889904
3260000000,-4.280315849,,-3.866930949,,-4.289635553
3280000000,-4.221729886,,-3.806999057,,-4.223704045
3300000000,-4.163423258,,-3.747289806,,-4.158930832
3320000000,-4.105305843,,-3.68772678,,-4.095170848
3340000000,-4.047298963,,-3.628244144,,-4.032295985
3360000000,-3.989333977,,-3.568785356,,-3.970192966
3380000000,-3.931351093,,-3.509302098,,-3.908761542
3400000000,-3.873298365,,-3.44975336,,-3.847912954
3420000000,-3.815130847,,-3.390104678,,-3.787568622
3440000000,-3.756809874,,-3.330327484,,-3.72765902
