Frequency,ADS,,,HFSS,,,Theory,
1000000000,1.56E-10,0.15630079,,1.70E-10,0.17032561,,9.17E-09,0.091698409
1020000000,1.55E-10,0.15515364,,1.70E-10,0.169839814,,9.10E-09,0.091012301
1040000000,1.54E-10,0.1540303,,1.69E-10,0.168881691,,9.03E-09,0.090340732
1060000000,1.53E-10,0.152931254,,1.68E-10,0.167950914,,8.97E-09,0.08968396
1080000000,1.52E-10,0.151856947,,1.67E-10,0.167048288,,8.90E-09,0.08904221
1100000000,1.51E-10,0.150807781,,1.66E-10,0.1661746,,8.84E-09,0.088415686
1120000000,1.50E-10,0.149784126,,1.65E-10,0.165330625,,8.78E-09,0.087804566
1140000000,1.49E-10,0.148786319,,1.65E-10,0.16451713,,8.72E-09,0.08720901
1160000000,1.48E-10,0.147814675,,1.64E-10,0.163734882,,8.66E-09,0.086629161
1180000000,1.47E-10,0.146869484,,1.63E-10,0.162984658,,8.61E-09,0.086065146
1200000000,1.46E-10,0.145951023,,1.62E-10,0.162267244,,8.55E-09,0.085517082
1220000000,1.45E-10,0.145059554,,1.62E-10,0.161583448,,8.50E-09,0.084985076
1240000000,1.44E-10,0.144195331,,1.61E-10,0.160934107,,8.45E-09,0.084469227
1260000000,1.43E-10,0.143358607,,1.60E-10,0.160320093,,8.40E-09,0.083969631
1280000000,1.43E-10,0.142549635,,1.60E-10,0.159742321,,8.35E-09,0.083486382
1300000000,1.42E-10,0.141768671,,1.59E-10,0.15920176,,8.30E-09,0.083019576
1320000000,1.41E-10,0.141015987,,1.59E-10,0.158699443,,8.26E-09,0.08256931
1340000000,1.40E-10,0.140291866,,1.58E-10,0.158236474,,8.21E-09,0.082135689
1360000000,1.40E-10,0.139596614,,1.58E-10,0.157814043,,8.17E-09,0.081718828
1380000000,1.39E-10,0.138930561,,1.57E-10,0.157433436,,8.13E-09,0.08131885
1400000000,1.38E-10,0.138294073,,1.57E-10,0.157096049,,8.09E-09,0.080935896
1420000000,1.38E-10,0.13768755,,1.57E-10,0.156803405,,8.06E-09,0.080570124
1440000000,1.37E-10,0.137111439,,1.57E-10,0.156557168,,8.02E-09,0.080221713
1460000000,1.37E-10,0.136566239,,1.56E-10,0.156359162,,7.99E-09,0.079890866
1480000000,1.36E-10,0.136052506,,1.56E-10,0.156211392,,7.96E-09,0.079577815
1500000000,1.36E-10,0.135570869,,1.56E-10,0.156116068,,7.93E-09,0.079282826
1520000000,1.35E-10,0.135122031,,1.56E-10,0.156075629,,7.90E-09,0.079006201
1540000000,1.35E-10,0.134706787,,1.56E-10,0.156092774,,7.87E-09,0.078748286
1560000000,1.34E-10,0.13432603,,1.56E-10,0.156170497,,7.85E-09,0.078509474
1580000000,1.34E-10,0.13398077,,1.56E-10,0.156312121,,7.83E-09,0.078290214
1600000000,1.34E-10,0.133672144,,1.57E-10,0.156521344,,7.81E-09,0.078091017
1620000000,1.33E-10,0.133401438,,1.57E-10,0.15680229,,7.79E-09,0.077912463
1640000000,1.33E-10,0.133170104,,1.57E-10,0.157159564,,7.78E-09,0.077755213
1660000000,1.33E-10,0.132979783,,1.58E-10,0.157598319,,7.76E-09,0.077620018
1680000000,1.33E-10,0.132832333,,1.58E-10,0.158124333,,7.75E-09,0.077507732
1700000000,1.33E-10,0.13272986,,1.59E-10,0.158744097,,7.74E-09,0.077419325
1720000000,1.33E-10,0.13267475,,1.59E-10,0.159464921,,7.74E-09,0.077355901
1740000000,1.33E-10,0.132669715,,1.60E-10,0.160295053,,7.73E-09,0.077318717
1760000000,1.33E-10,0.132717839,,1.61E-10,0.161243821,,7.73E-09,0.077309205
1780000000,1.33E-10,0.132822635,,1.62E-10,0.162321802,,7.73E-09,0.077328998
1800000000,1.33E-10,0.132988117,,1.64E-10,0.163541021,,7.74E-09,0.077379962
1820000000,1.33E-10,0.133218877,,1.65E-10,0.164915183,,7.75E-09,0.077464234
1840000000,1.34E-10,0.133520182,,1.66E-10,0.166459959,,7.76E-09,0.077584262
1860000000,1.34E-10,0.133898093,,1.68E-10,0.168193315,,7.77E-09,0.077742864
1880000000,1.34E-10,0.134359603,,1.70E-10,0.170135922,,7.79E-09,0.077943286
1900000000,1.35E-10,0.134912805,,1.72E-10,0.172311641,,7.82E-09,0.07818928
1920000000,1.36E-10,0.135567103,,1.75E-10,0.174748115,,7.85E-09,0.078485197
1940000000,1.36E-10,0.136333462,,1.77E-10,0.177477494,,7.88E-09,0.078836102
1960000000,1.37E-10,0.137224722,,1.81E-10,0.180537316,,7.92E-09,0.079247913
