Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
1,0.210710529,,1,0.169512622
1.02,0.162483645,,1.02,0.169014169
1.04,0.140426766,,1.04,0.168031196
1.06,0.163370431,,1.06,0.167076491
1.08,0.185265766,,1.08,0.166150843
1.1,0.140542372,,1.1,0.165255022
1.12,0.129844234,,1.12,0.164389785
1.14,0.185350529,,1.14,0.163555884
1.16,0.179282354,,1.16,0.16275407
1.18,0.121315758,,1.18,0.1619851
1.2,0.162771544,,1.2,0.161249747
1.22,0.182474402,,1.22,0.160548803
1.24,0.102375637,,1.24,0.159883092
1.26,0.135387281,,1.26,0.15925347
1.28,0.216431982,,1.28,0.158660842
1.3,0.146770628,,1.3,0.158106166
1.32,0.080364965,,1.32,0.157590463
1.34,0.170736142,,1.34,0.157114831
1.36,0.203786385,,1.36,0.156680451
1.38,0.069230199,,1.38,0.156288604
1.4,0.095439554,,1.4,0.155940681
1.42,0.249385601,,1.42,0.1556382
1.44,0.15203978,,1.44,0.155382821
1.46,0.04119412,,1.46,0.155176367
1.48,0.192919501,,1.48,0.15502084
1.5,0.219847155,,1.5,0.154918445
1.52,0.040689894,,1.52,0.154871619
1.54,0.092686634,,1.54,0.154883055
1.56,0.231349646,,1.56,0.154955735
1.58,0.141096625,,1.58,0.155092972
1.6,0.030644526,,1.6,0.155298447
1.62,0.168187966,,1.62,0.155576257
1.64,0.238832563,,1.64,0.155930976
1.66,0.050285649,,1.66,0.156367716
1.68,0.069975787,,1.68,0.1568922
1.7,0.252967592,,1.7,0.157510853
1.72,0.148748027,,1.72,0.158230905
1.74,0.023438266,,1.74,0.159060509
1.76,0.182915808,,1.76,0.160008886
1.78,0.216424213,,1.78,0.161086497
1.8,0.059761013,,1.8,0.162305247
1.82,0.116446126,,1.82,0.163678731
1.84,0.234936351,,1.84,0.165222533
1.86,0.137086744,,1.86,0.166954583
1.88,0.039046727,,1.88,0.168895598
1.9,0.161693314,,1.9,0.171069605
1.92,0.215683903,,1.92,0.17350459
1.94,0.063504005,,1.94,0.176233273
1.96,0.131570519,,1.96,0.179294058
1.98,0.265027925,,1.98,0.182732185
2,0.094773625,,2,0.186601144
2.02,0.079486914,,2.02,0.190964415
2.04,0.272239037,,2.04,0.195897635
2.06,0.162123346,,2.06,0.201491327
2.08,0.051198486,,2.08,0.207854377
2.1,0.241225722,,2.1,0.215118502
2.12,0.248957093,,2.12,0.223444045
2.14,0.069881997,,2.14,0.233027531
2.16,0.179545049,,2.16,0.244111557
2.18,0.327275024,,2.18,0.256997772
2.2,0.163795932,,2.2,0.272063941
2.22,0.087209766,,2.22,0.289786364
2.24,0.345897892,,2.24,0.31076922
2.26,0.38220248,,2.26,0.335782595
2.28,0.126553366,,2.28,0.365810686
2.3,0.28464438,,2.3,0.402110257
2.32,0.5240453,,2.32,0.446274924
2.34,0.295139475,,2.34,0.500289554
2.36,0.262994084,,2.36,0.566532693
2.38,0.615093392,,2.38,0.647628626
2.4,0.659562292,,2.4,0.745942082
2.42,0.522530592,,2.42,0.862336476
2.44,0.741990444,,2.44,0.993658588
2.46,1.031398121,,2.46,1.128614632
2.48,1.041136767,,2.48,1.242896032
2.5,1.071285378,,2.5,1.296066541
2.52,1.338461364,,2.52,1.228293643
2.54,1.445864577,,2.54,0.918000204
2.56,1.026377566,,2.56,-0.259992686
2.58,0.469427014,,2.58,-6.265794498
2.6,-1.283498803,,2.6,-7.780892295
2.62,-4.723316699,,2.62,-2.255965988
2.64,-5.436198658,,2.64,-0.005711907
2.66,-3.645133696,,2.66,0.328544348
2.68,-0.621987516,,2.68,0.395459446
2.7,-0.183987892,,2.7,0.396511594
2.72,0.011365754,,2.72,0.378305057
2.74,0.302642982,,2.74,0.355234509
2.76,0.275229065,,2.76,0.332294327
2.78,0.104115367,,2.78,0.311204667
2.8,0.332227295,,2.8,0.292438102
2.82,0.486412499,,2.82,0.275979761
2.84,0.205015188,,2.84,0.261634323
2.86,0.311314596,,2.86,0.249154322
2.88,0.60680563,,2.88,0.238293427
2.9,0.303135537,,2.9,0.228827027
2.92,0.190893521,,2.92,0.220558429
2.94,0.380146831,,2.94,0.213318832
2.96,0.159942646,,2.96,0.206964845
2.98,0.045486017,,2.98,0.201375218
3,0.254411013,,3,0.196447572
3.02,0.260643755,,3.02,0.192095413
3.04,0.073514384,,3.04,0.188245541
3.06,0.08300678,,3.06,0.184835849
3.08,0.294885166,,3.08,0.18181349
3.1,0.1568984,,3.1,0.179133351
3.12,-0.03658294,,3.12,0.176756791
3.14,0.259302874,,3.14,0.174650601
3.16,0.278035066,,3.16,0.172786143
3.18,-0.070684583,,3.18,0.171138636
3.2,0.136957192,,3.2,0.16968657
3.22,0.364309616,,3.22,0.168411209
3.24,0.039754812,,3.24,0.167296184
3.26,0.034237527,,3.26,0.166327151
3.28,0.326037183,,3.28,0.1654915
3.3,0.16677323,,3.3,0.164778117
3.32,-0.039194076,,3.32,0.164177176
3.34,0.132150452,,3.34,0.163679965
3.36,0.309435776,,3.36,0.163278742
3.38,0.060735447,,3.38,0.162966603
3.4,-0.05313201,,3.4,0.16273738
3.42,0.334949258,,3.42,0.162585545
3.44,0.225146101,,3.44,0.16250613
3.46,-0.111834996,,3.46,0.162494657
3.48,0.21167063,,3.48,0.162547082
3.5,0.375451482,,3.5,0.162659739
3.52,-0.002996802,,3.52,0.162829293
3.54,0.022517972,,3.54,0.163052705
3.56,0.342000034,,3.56,0.163327193
3.58,0.142383908,,3.58,0.163650201
3.6,-0.011223947,,3.6,0.164019374
3.62,0.234571893,,3.62,0.16443253
3.64,0.268424004,,3.64,0.164887641
3.66,0.033055292,,3.66,0.165382813
3.68,0.021263616,,3.68,0.165916268
3.7,0.312811459,,3.7,0.166486327
3.72,0.194693535,,3.72,0.167091399
3.74,-0.026728823,,3.74,0.167729965
3.76,0.236417766,,3.76,0.168400568
3.78,0.280265588,,3.78,0.169101799
3.8,0.003009142,,3.8,0.169832293
3.82,0.103364647,,3.82,0.170590715
3.84,0.287770012,,3.84,0.171375753
3.86,0.125438878,,3.86,0.172186114
3.88,0.055397015,,3.88,0.173020508
3.9,0.179864531,,3.9,0.173877653
3.92,0.198816411,,3.92,0.174756259
3.94,0.076835294,,3.94,0.17565503
3.96,0.07382021,,3.96,0.176572653
3.98,0.259808315,,3.98,0.177507797
