Frequency,HFSS,,,Frequency,Measurement
,mag,,,,Mag
1,-1.632349826,,,1.00E+09,-1.67799
1.02,-1.67624454,,,1.02E+09,-1.80259
1.04,-1.719786033,,,1.04E+09,-1.85818
1.06,-1.762939986,,,1.06E+09,-1.88681
1.08,-1.805673084,,,1.08E+09,-1.95168
1.1,-1.847952978,,,1.10E+09,-2.03655
1.12,-1.889748241,,,1.12E+09,-2.06429
1.14,-1.931028331,,,1.14E+09,-2.08727
1.16,-1.971763541,,,1.16E+09,-2.17548
1.18,-2.011924954,,,1.18E+09,-2.23939
1.2,-2.051484396,,,1.20E+09,-2.26143
1.22,-2.090414381,,,1.22E+09,-2.34727
1.24,-2.128688062,,,1.24E+09,-2.42711
1.26,-2.166279176,,,1.26E+09,-2.41336
1.28,-2.203161988,,,1.28E+09,-2.45732
1.3,-2.239311234,,,1.30E+09,-2.5908
1.32,-2.274702059,,,1.32E+09,-2.62673
1.34,-2.309309959,,,1.34E+09,-2.61292
1.36,-2.343110714,,,1.36E+09,-2.71296
1.38,-2.376080324,,,1.38E+09,-2.82336
1.4,-2.408194939,,,1.40E+09,-2.77202
1.42,-2.43943079,,,1.42E+09,-2.77962
1.44,-2.469764113,,,1.44E+09,-2.94953
1.46,-2.499171072,,,1.46E+09,-2.96879
1.48,-2.527627677,,,1.48E+09,-2.92098
1.5,-2.555109701,,,1.50E+09,-3.05569
1.52,-2.581592592,,,1.52E+09,-3.17007
1.54,-2.607051375,,,1.54E+09,-3.11024
1.56,-2.631460555,,,1.56E+09,-3.11894
1.58,-2.654794013,,,1.58E+09,-3.27383
1.6,-2.677024896,,,1.60E+09,-3.29347
1.62,-2.698125497,,,1.62E+09,-3.21737
1.64,-2.718067134,,,1.64E+09,-3.31561
1.66,-2.736820015,,,1.66E+09,-3.44373
1.68,-2.7543531,,,1.68E+09,-3.36349
1.7,-2.770633956,,,1.70E+09,-3.34627
1.72,-2.785628596,,,1.72E+09,-3.51239
1.74,-2.799301317,,,1.74E+09,-3.51507
1.76,-2.81161453,,,1.76E+09,-3.43717
1.78,-2.822528578,,,1.78E+09,-3.53309
1.8,-2.832001555,,,1.80E+09,-3.61263
1.82,-2.839989119,,,1.82E+09,-3.54549
1.84,-2.846444305,,,1.84E+09,-3.55782
1.86,-2.851317352,,,1.86E+09,-3.69488
1.88,-2.854555537,,,1.88E+09,-3.70127
1.9,-2.856103049,,,1.90E+09,-3.61953
1.92,-2.855900899,,,1.92E+09,-3.68669
1.94,-2.853886912,,,1.94E+09,-3.74499
1.96,-2.849995824,,,1.96E+09,-3.63928
1.98,-2.844159542,,,1.98E+09,-3.6632
2,-2.836307645,,,2.00E+09,-3.78339
2.02,-2.826368217,,,2.02E+09,-3.68357
2.04,-2.814269188,,,2.04E+09,-3.63737
2.06,-2.799940373,,,2.06E+09,-3.77026
2.08,-2.783316556,,,2.08E+09,-3.71772
2.1,-2.764342041,,,2.10E+09,-3.60596
2.12,-2.742977381,,,2.12E+09,-3.69346
2.14,-2.719209243,,,2.14E+09,-3.71933
2.16,-2.693064917,,,2.16E+09,-3.56949
2.18,-2.664633668,,,2.18E+09,-3.55477
2.2,-2.634098333,,,2.20E+09,-3.67439
2.22,-2.601782323,,,2.22E+09,-3.54703
2.24,-2.568220076,,,2.24E+09,-3.35396
2.26,-2.534263537,,,2.26E+09,-3.45296
2.28,-2.501244544,,,2.28E+09,-3.48811
2.3,-2.47122482,,,2.30E+09,-3.25282
2.32,-2.447384259,,,2.32E+09,-3.23569
2.34,-2.434628577,,,2.34E+09,-3.38554
2.36,-2.440544527,,,2.36E+09,-3.21125
2.38,-2.476899498,,,2.38E+09,-3.02741
2.4,-2.561968815,,,2.40E+09,-3.15734
2.42,-2.724043431,,,2.42E+09,-3.24841
2.44,-3.006407619,,,2.44E+09,-3.20849
2.46,-3.473633287,,,2.46E+09,-3.41849
2.48,-4.21798741,,,2.48E+09,-3.96699
2.5,-5.363889853,,,2.50E+09,-4.64452
2.52,-7.071923848,,,2.52E+09,-5.64248
2.54,-9.561398256,,,2.54E+09,-7.45224
2.56,-13.22073685,,,2.56E+09,-10.15561
2.58,-19.05819991,,,2.58E+09,-13.70902
2.6,-27.82228081,,,2.60E+09,-18.92111
2.62,-20.92669171,,,2.62E+09,-22.31409
2.64,-16.0857068,,,2.64E+09,-22.14558
2.66,-13.36370919,,,2.66E+09,-18.58156
2.68,-11.59893969,,,2.68E+09,-15.5945
2.7,-10.35683437,,,2.70E+09,-13.72256
2.72,-9.434695999,,,2.72E+09,-12.1548
2.74,-8.723309314,,,2.74E+09,-10.94926
2.76,-8.158023584,,,2.76E+09,-10.18565
2.78,-7.697965454,,,2.78E+09,-9.42388
2.8,-7.315998816,,,2.80E+09,-8.58232
2.82,-6.993407713,,,2.82E+09,-8.11576
2.84,-6.716879576,,,2.84E+09,-7.77932
2.86,-6.476699533,,,2.86E+09,-7.18087
2.88,-6.26562228,,,2.88E+09,-6.90144
2.9,-6.078141932,,,2.90E+09,-6.92627
2.92,-5.91000522,,,2.92E+09,-6.70713
2.94,-5.757878561,,,2.94E+09,-6.59905
2.96,-5.619115253,,,2.96E+09,-6.67789
2.98,-5.491589489,,,2.98E+09,-6.51686
3,-5.373575928,,,3.00E+09,-6.29604
3.02,-5.263660956,,,3.02E+09,-6.29876
3.04,-5.160676363,,,3.04E+09,-6.29999
3.06,-5.06364914,,,3.06E+09,-6.0906
3.08,-4.971763033,,,3.08E+09,-5.95639
3.1,-4.884328775,,,3.10E+09,-6.05127
3.12,-4.800760817,,,3.12E+09,-5.92101
3.14,-4.720558967,,,3.14E+09,-5.64775
3.16,-4.64329378,,,3.16E+09,-5.75235
3.18,-4.568594838,,,3.18E+09,-5.75609
3.2,-4.496141283,,,3.20E+09,-5.4181
3.22,-4.425654119,,,3.22E+09,-5.40877
3.24,-4.356889904,,,3.24E+09,-5.51137
3.26,-4.289635553,,,3.26E+09,-5.28624
3.28,-4.223704045,,,3.28E+09,-5.15522
3.3,-4.158930832,,,3.30E+09,-5.28953
3.32,-4.095170848,,,3.32E+09,-5.25687
3.34,-4.032295985,,,3.34E+09,-4.98604
3.36,-3.970192966,,,3.36E+09,-4.96703
3.38,-3.908761542,,,3.38E+09,-5.08975
3.4,-3.847912954,,,3.40E+09,-4.8718
3.42,-3.787568622,,,3.42E+09,-4.64109
3.44,-3.72765902,,,3.44E+09,-4.80785
3.46,-3.66812271,,,3.46E+09,-4.76265
3.48,-3.608905504,,,3.48E+09,-4.39279
3.5,-3.549959745,,,3.50E+09,-4.4711
3.52,-3.491243683,,,3.52E+09,-4.59577
3.54,-3.432720925,,,3.54E+09,-4.33108
3.56,-3.374359968,,,3.56E+09,-4.22091
3.58,-3.316133777,,,3.58E+09,-4.33339
3.6,-3.258019428,,,3.60E+09,-4.2391
